Parafia	Miejscowość	url	Adres	Diecezja	Dekanat	Województwo	place_id
Narodzenia Najświętszej Maryi Panny	Siedlisko		Narodzenia Najświętszej Maryi Panny|pl. Zamkowy 17|67-112 Siedlisko|woj. lubuskie	zielonogórsko-gorzowska	Nowa Sól	lubuskie	ChIJ7xU6CgH9BUcR0K6WTF0fFNo	OK
Narodzenia Najświętszej Maryi Panny	Lipki Wielkie		Narodzenia Najświętszej Maryi Panny|ul. Szosowa 75|66-544 Lipki Wielkie|woj. lubuskie	zielonogórsko-gorzowska	Rokitno	lubuskie	ChIJWegDYFLdBkcRjZIJB4ssGms	OK
Narodzenia Najświętszej Maryi Panny	Laski Lubuskie		Narodzenia Najświętszej Maryi Panny|Laski Lubuskie 10|69-113 Laski Lubuskie|woj. lubuskie	zielonogórsko-gorzowska	Rzepin	lubuskie	ChIJh25wPoigB0cRjm91tegXrBw	OK
Narodzenia Najświętszej Maryi Panny	Nowe Kramsko		Narodzenia Najświętszej Maryi Panny|ul. Powstańców Wlkp. 29|66-111 Nowe Kramsko|woj. lubuskie	zielonogórsko-gorzowska	Sulechów	lubuskie	ChIJZVxylGNwBkcR3aanmLy-ZQM	AMBIGUOUS
Narodzenia Najświętszej Maryi Panny	Małomice		Narodzenia Najświętszej Maryi Panny|ul. Kościelna 19|67-320 Małomice|woj. dolnośląskie	zielonogórsko-gorzowska	Szprotawa	dolnośląskie	ChIJ4VjpR_6uCEcRFmqMRx8lZ80	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Sieniawa Lubuska		Narodzenia Najświętszej Maryi Panny	Sieniawa Lubuska	Narodzenia Najświętszej Maryi Panny|Sieniawa Lubuska 65|66-221 Sieniawa Lubuska	zielonogórsko-gorzowska	Świebodzin			NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Skąpe	http://www.skape.parafia.info.pl/	Narodzenia Najświętszej Maryi Panny|Skąpe 97|66-213 Skąpe|woj. lubuskie	zielonogórsko-gorzowska	Świebodzin	lubuskie	ChIJoU8HIXxCBkcRJ-hoVLiZFWo	OK
Narodzenia Najświętszej Maryi Panny	Wilkowo		Narodzenia Najświętszej Maryi Panny|Wilkowo 50|66-200 Wilkowo|woj. lubuskie	zielonogórsko-gorzowska	Świebodzin	lubuskie	ChIJfUHMnbJdBkcR7jZqmMLC52s	AMBIGUOUS
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Zawada		Narodzenia Najświętszej Maryi Panny	Zawada	Narodzenia Najświętszej Maryi Panny|ul. Kożuchowska 1|66-001 Zawada|woj. lubuskie	zielonogórsko-gorzowska	Zielona Góra-św. Jadwigi	lubuskie		NOT_FOUND
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Chotków		Narodzenia Najświętszej Maryi Panny	Chotków	Narodzenia Najświętszej Maryi Panny|Chotków|68-113 Chotków|woj. lubuskie	zielonogórsko-gorzowska	Żagań	lubuskie		NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Bełchatów	http://www.fara-belchatow.pl/	Narodzenia Najświętszej Maryi Panny|ul. T. Kościuszki 2|97-400 Bełchatów|woj. łódzkie	łódzka	Bełchatów	łódzkie	ChIJwcd8vN8ZGkcR7uLWOJrwMKw	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Łękawa, Bełchatów >3<		Narodzenia Najświętszej Maryi Panny	Łękawa, Bełchatów >3<	Narodzenia Najświętszej Maryi Panny|Łękawa 11|97-413 Łękawa, Bełchatów >3<	łódzka	Bełchatów			NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Szczerców	http://www.parafia.szczercow.pl/	Narodzenia Najświętszej Maryi Panny|ul.3 Maja 3|97-420 Szczerców|woj. łódzkie	łódzka	Szczerców	łódzkie	ChIJl2mI9OgSGkcRi4Ws9LvNtm8	OK
Narodzenia Najświętszej Maryi Panny	NOWOGRÓD ŁOMŻYŃSKI		Narodzenia Najświętszej Maryi Panny|ul.Miastkowska 1|18-414 NOWOGRÓD ŁOMŻYŃSKI|woj. podlaskie	łomżyńska	Łomża-Św.Brunona	podlaskie	ChIJG_ecJDk6HkcRJCm5ioNHoUY	OK
Narodzenia Najświętszej Maryi Panny	WĄSEWO	http://www.wasewo.pl/parafia/parafia.html	Narodzenia Najświętszej Maryi Panny|ul.Armii Krajowej 4|07-311 WĄSEWO|woj. mazowieckie	łomżyńska	Ostrów Mazowiecka-Chrystusa Dobrego Pasterza	mazowieckie	ChIJLVbn98pQHkcRAgH4IVrMv2E	OK
Narodzenia Najświętszej Maryi Panny	SŁUCZ	http://www.parafiaslucz.pl/	Narodzenia Najświętszej Maryi Panny|Słucz 57|19-213 SŁUCZ|woj. podlaskie	łomżyńska	Szczuczyn	podlaskie	ChIJhZv8NeLU4UYRSky8cIcbojE	OK
Narodzenia Najświętszej Maryi Panny	WYSZONKI KOŚCIELNE		Narodzenia Najświętszej Maryi Panny|Wyszonki Kościelne 35|18-214 WYSZONKI KOŚCIELNE|woj. podlaskie	łomżyńska	Szepietowo	podlaskie	ChIJx0DRZmKaH0cR47wOxd6lAnc	OK
Narodzenia Najświętszej Maryi Panny	STARY WALISZEW		Narodzenia Najświętszej Maryi Panny|Stary Waliszew 28|99-423 STARY WALISZEW|woj. łódzkie	łowicka	Głowno	łódzkie	ChIJL0jB7_bAG0cRHTZVUl8uzyg	OK
Narodzenia Najświętszej Maryi Panny	MŁODZIESZYN	http://www.parafiamlodzieszyn.pl/galeria/	Narodzenia Najświętszej Maryi Panny|ul.Chodakowska 1|96-512 MŁODZIESZYN|woj. mazowieckie	łowicka	Sochaczew-Św. Wawrzyńca	mazowieckie	ChIJ___P3uf9G0cRKfeIJgYdSNw	OK
Narodzenia Najświętszej Maryi Panny	SOCHACZEW-TROJANÓW	http://www.parafiatrojanow.maryjni.pl/	Narodzenia Najświętszej Maryi Panny|Al. 600-lecia 86|96-500 SOCHACZEW-TROJANÓW|woj. mazowieckie	łowicka	Sochaczew-Św. Wawrzyńca	mazowieckie	ChIJV5HqZHX-G0cRIwYGZj0aZXY	OK
Narodzenia Najświętszej Maryi Panny	SADY GÓRNE	http://parafiasady.eu/	Narodzenia Najświętszej Maryi Panny|Sady Górne 112|59-420 SADY GÓRNE|woj. dolnośląskie	świdnicka	Bolków	dolnośląskie	ChIJOTAk6sz_DkcRW6075uQhkMc	OK
Narodzenia Najświętszej Maryi Panny	KIEŁCZYN		Narodzenia Najświętszej Maryi Panny|Kiełczyn 44|58-207 KIEŁCZYN|woj. dolnośląskie	świdnicka	Dzierżoniów-Północ	dolnośląskie	ChIJN1JKksRKDkcRxKejDDXfiag	OK
Narodzenia Najświętszej Maryi Panny	LĄDEK ZDRÓJ	http://www.parafialadek.pl/	Narodzenia Najświętszej Maryi Panny|ul.Kościelna 24|57-540 LĄDEK ZDRÓJ|woj. dolnośląskie	świdnicka	Lądek Zdrój	dolnośląskie	ChIJdQeoJOsdDkcRonT8UYn177I	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny ŁOSIE		Narodzenia Najświętszej Maryi Panny	ŁOSIE	Narodzenia Najświętszej Maryi Panny|Łosie 22|38-314 ŁOSIE|woj. małopolskie	bizantyjska przemysko-warszawska	Krakowsko-Krynicki	małopolskie		NOT_FOUND
NOT_FOUND	Narodzenia Najświętszej Maryi Panny ROZDZIELE		Narodzenia Najświętszej Maryi Panny	ROZDZIELE	Narodzenia Najświętszej Maryi Panny|ul.Kopernika 2/68|38-300 ROZDZIELE|woj. małopolskie	bizantyjska przemysko-warszawska	Krakowsko-Krynicki	małopolskie		NOT_FOUND
NOT_FOUND	Narodzenia Najświętszej Maryi Panny OSTRE BARDO		Narodzenia Najświętszej Maryi Panny	OSTRE BARDO	Narodzenia Najświętszej Maryi Panny|Ostre Bardo|11-210 OSTRE BARDO|woj. warmińsko-mazurskie	bizantyjska przemysko-warszawska	Olsztyn	warmińsko-mazurskie		NOT_FOUND
NOT_FOUND	Narodzenia Najświętszej Maryi Panny CHOTYNIEC		Narodzenia Najświętszej Maryi Panny	CHOTYNIEC	Narodzenia Najświętszej Maryi Panny|37-552 CHOTYNIEC|woj. podkarpackie	bizantyjska przemysko-warszawska	Przemyśl	podkarpackie		NOT_FOUND
Narodzenia Najświętszej Maryi Panny	DZIEWIĘCIERZ		Narodzenia Najświętszej Maryi Panny|37-622 DZIEWIĘCIERZ|woj. podkarpackie	bizantyjska przemysko-warszawska	Przemyśl	podkarpackie	ChIJjUYUnJZLO0cRos0GuuvjJb8	OK
Narodzenia Najświętszej Maryi Panny	LUBLIN	https://www.facebook.com/GreKatLublin/	Narodzenia Najświętszej Maryi Panny|Al. Warszawska 71|20-803 LUBLIN|woj. lubelskie	bizantyjska przemysko-warszawska	Przemyśl	lubelskie	ChIJ0SUS0L9ZIkcRaIhnqTR89Dg	OK
Narodzenia Najświętszej Maryi Panny	BIAŁY BÓR		Narodzenia Najświętszej Maryi Panny|ul. Topolowa 20|78- 42 BIAŁY BÓR	grecko-kat. wrocławsko-gdańska	Słupsk		ChIJsXgQmqyNAUcRgIt8IpVr2TQ	OK
Narodzenia Najświętszej Maryi Panny	Chechło	http://parafia.chechlo.com.pl/	Narodzenia Najświętszej Maryi Panny|ul.Hutnicza 3|32-315 Chechło	sosnowiecka	Jaroszowiec		ChIJO2TAcygeF0cRymumPq6yUb0	OK
Narodzenia Najświętszej Maryi Panny	Jaworzno-Długoszyn		Narodzenia Najświętszej Maryi Panny|ul.Dąbrowskiego 32b|43-602 Jaworzno-Długoszyn	sosnowiecka	Jaworzno-MB Nieustającej Pomocy		ChIJ92KZe1zDFkcRLYAIs59gDYI	OK
Narodzenia Najświętszej Maryi Panny	Brudzowice	http://parafiabrudzowice.pl/	Narodzenia Najświętszej Maryi Panny|ul.Przykościelna 44|42-470 Brudzowice	sosnowiecka	Siewierz		ChIJi0MnPS0pF0cR56rQUeJyo0E	OK
Narodzenia Najświętszej Maryi Panny	Szreniawa		Narodzenia Najświętszej Maryi Panny|Szreniawa 81|32-075 Szreniawa	sosnowiecka	Wolbrom-Św.Katarzyny		ChIJB3lx_TsBF0cR3MLTv_ZrMQU	OK
Narodzenia Najświętszej Maryi Panny	INWAŁD		Narodzenia Najświętszej Maryi Panny|Inwałd ul. Wadowicka 110|34-120 INWAŁD|woj. małopolskie	bielsko-żywiecka	Andrychów	małopolskie	ChIJPfzfk3aFFkcRi-URVKnBvh4	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Chłopków		Narodzenia Najświętszej Maryi Panny	Chłopków	Narodzenia Najświętszej Maryi Panny|Chłopków|08-210 Chłopków|woj. mazowieckie	drohiczyńska	Sarnaki	mazowieckie		NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Kosów Lacki	http://www.parafiakosowlacki.pl/	Narodzenia Najświętszej Maryi Panny|ul. Kościelna 3|08-330 Kosów Lacki|woj. mazowieckie	drohiczyńska	Sterdyń	mazowieckie	ChIJnSuBTwkMH0cRi5YG5ufcxQc	OK
Narodzenia Najświętszej Maryi Panny	Golasowice	http://www.parafiagolasowice.pl/	Narodzenia Najświętszej Maryi Panny|ul. M. Reja 11|43-252 Golasowice|woj. śląskie	katowicka	Pawłowice Śląskie	śląskie	ChIJeSyK-HmsFkcRUGLOMLJOQzk	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Chałupki		Narodzenia Najświętszej Maryi Panny	Chałupki	Narodzenia Najświętszej Maryi Panny|Chałupki ul. Bławatkowa 65|44-321 Chałupki|woj. śląskie	katowicka	Wodzisław Śląski	śląskie		NOT_FOUND
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Rachwałowice		Narodzenia Najświętszej Maryi Panny	Rachwałowice	Narodzenia Najświętszej Maryi Panny|Rachwałowice 64|32-130 Rachwałowice|woj. małopolskie	kielecka	Kaziemirza Wielka	małopolskie		NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Bolmin	http://parafialnie.pl/parafia/checiny/parafia-narodzenia-najswietszej-maryi-panny	Narodzenia Najświętszej Maryi Panny|Bolmin 58|26-060 Bolmin|woj. świętokrzyskie	kielecka	Małogoszcz	świętokrzyskie	ChIJ6c4c8zKCF0cRlziOLMk3gJk	OK
Narodzenia Najświętszej Maryi Panny	Goleniowy		Narodzenia Najświętszej Maryi Panny|Goleniowyul. Kochowskiego 9|42-445 Goleniowy|woj. śląskie	kielecka	Szczekociny	śląskie	ChIJLbmsX6MSF0cRM5OUrbFbhJg	OK
Narodzenia Najświętszej Maryi Panny	Bebelno		Narodzenia Najświętszej Maryi Panny|Bebelno 45|29-100 Bebelno|woj. świętokrzyskie	kielecka	Włoszczowa	świętokrzyskie	ChIJiaSSPi9wF0cR8_nDzLlrrUQ	OK
Narodzenia Najświętszej Maryi Panny	Racławice	http://www.raclawiceparafia.pl/	Narodzenia Najświętszej Maryi Panny|Racławice 54|32-049 Racławice|woj. małopolskie	krakowska	Bolechowice	małopolskie	ChIJVe0yITf6FkcRnVN_968Zvgg	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Kresienin		Narodzenia Najświętszej Maryi Panny	Kresienin	Narodzenia Najświętszej Maryi Panny|21-025 Kresienin|woj. lubelskie	lubelska	Garbów	lubelskie		NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Dąbrowica	http://www.parafia-dabrowica.pl	Narodzenia Najświętszej Maryi Panny|Dąbrowica 132|21-008 Dąbrowica|woj. lubelskie	lubelska	Konopnica	lubelskie	ChIJZZ0NHRNZIkcRvsMQ1tEYsFI	OK
Narodzenia Najświętszej Maryi Panny	Wygnanowice	http://www.parafiawygnanowice.pl/	Narodzenia Najświętszej Maryi Panny|Wygnanowice|21-062 Wygnanowice	lubelska	Piaski		ChIJVep3UdkGI0cRmMDSydWcfkg	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Płonka		Narodzenia Najświętszej Maryi Panny	Płonka	Narodzenia Najświętszej Maryi Panny|Płonka|22-330 Płonka|woj. lubelskie	lubelska	Turobin	lubelskie		NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Żydowo		Narodzenia Najświętszej Maryi Panny|Żydowo 17|11-200 Żydowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Bartoszyce	warmińsko-mazurskie	ChIJpQvHmDJU4kYRTZoF4XVohNA	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Ryn Reszulski		Narodzenia Najświętszej Maryi Panny	Ryn Reszulski	Narodzenia Najświętszej Maryi Panny|Ryn Reszelski|11-311 Ryn Reszulski|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Biskupiec Reszelski	warmińsko-mazurskie		NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Kandyty	http://archwarmia.pl/parafie/parafie/kandyty-parafia-narodzenia-najswietszej-maryi-panny/	Narodzenia Najświętszej Maryi Panny|Kandyty 7|11-226 Kandyty	warmińska (olsztyńska)	Górowo Iławeckie		ChIJAZayY5Xl4kYRBFosHVQbBOk	OK
Narodzenia Najświętszej Maryi Panny	Glaznoty		Narodzenia Najświętszej Maryi Panny|Pietrzwałd 27|14-100 Glaznoty|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Grunwald	warmińsko-mazurskie	ChIJB46eKGtyHUcRxoSg0ihV9LM	OK
Narodzenia Najświętszej Maryi Panny	Paluzy		Narodzenia Najświętszej Maryi Panny|Paluzy|11-330 Paluzy	warmińska (olsztyńska)	Reszel		ChIJWZcgat1E4kYRk6sHAwwpLtE	OK
Narodzenia Najświętszej Maryi Panny	Gwoździany		Narodzenia Najświętszej Maryi Panny|ul. Topolowa 14|42-772 Gwoździany|woj. śląskie	opolska	Dobrodzień	śląskie	ChIJIclRk7XoEEcRfhmn6hLxGWU	OK
Narodzenia Najświętszej Maryi Panny	Kierpień		Narodzenia Najświętszej Maryi Panny|Kierpień 85|48-250 Kierpień|woj. opolskie	opolska	Głogówek	opolskie	ChIJMUqnf-2gEUcRgGAVPEwCA0Y	OK
Narodzenia Najświętszej Maryi Panny	Głubczyce	http://parafia.glubczyce.pl/	Narodzenia Najświętszej Maryi Panny|ul. Kościelna 7|48-100 Głubczyce|woj. opolskie	opolska	Głubczyce	opolskie	ChIJd-9wyxR2EUcRzvXtELZbmho	OK
Narodzenia Najświętszej Maryi Panny	Bodzanowice		Narodzenia Najświętszej Maryi Panny|ul. Kościelna 15|46-312 Bodzanowice|woj. opolskie	opolska	Gorzów Śląski	opolskie	ChIJg7QeTpiTEEcRZKvyAcm8g2c	OK
Narodzenia Najświętszej Maryi Panny	Kościeliska		Narodzenia Najświętszej Maryi Panny|Kościeliska 44|46-324 Kościeliska|woj. opolskie	opolska	Gorzów Śląski	opolskie	ChIJRxs5vIeOEEcR5ItjbTUvBLA	OK
Narodzenia Najświętszej Maryi Panny	Rogi		Narodzenia Najświętszej Maryi Panny|Rogi 16|49-153 Rogi	opolska	Niemodlin		ChIJq5C6rhzLEUcRJC4kIWObiJA	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Dębie		Narodzenia Najświętszej Maryi Panny	Dębie	Narodzenia Najświętszej Maryi Panny|ul. Wiejska 6|46-053 Dębie|woj. opolskie	opolska	Ozimek	opolskie		NOT_FOUND
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Rożniątów		Narodzenia Najświętszej Maryi Panny	Rożniątów	Narodzenia Najświętszej Maryi Panny|Biadanowa|47-161 Rożniątów|woj. opolskie	opolska	Strzelce Opolskie	opolskie		NOT_FOUND
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Centawa		Narodzenia Najświętszej Maryi Panny	Centawa	Narodzenia Najświętszej Maryi Panny|ul. Powstańców Śląskich 15|47-134 Centawa|woj. opolskie	opolska	Ujazd	opolskie		NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Zamarte	http://www.sanktuariumzamarte.pl/	Narodzenia Najświętszej Maryi Panny|Zamarte 1|89-430 Zamarte|woj. kujawsko-pomorskie	pelplińska	Kamień Krajeński	kujawsko-pomorskie	ChIJ_fc_PXdJAkcRRCTW29SbpeU	OK
Narodzenia Najświętszej Maryi Panny	Sianowo	http://sanktuarium-sianowo.pl/	Narodzenia Najświętszej Maryi Panny|ul. Plebania 14|83-328 Sianowo|woj. pomorskie	pelplińska	Kartuzy	pomorskie	ChIJg0uyi1GR_UYRd5QoMW1l0jA	OK
Narodzenia Najświętszej Maryi Panny	Pruszcz Bagienica	http://diecezja-pelplin.pl/parafie/spis-parafii/43-dekanat-tucholski/1091-parafia-narodzenia-najswietszej-maryi-panny-w-pruszczu-bagienicy	Narodzenia Najświętszej Maryi Panny|ul. Kościelna 24|89-520 Pruszcz Bagienica|woj. kujawsko-pomorskie	pelplińska	Tuchola	kujawsko-pomorskie	ChIJ4Tx_YExVAkcR8WNMBNt4rB0	OK
Narodzenia Najświętszej Maryi Panny	Kołaczkowice		Narodzenia Najświętszej Maryi Panny|Kołaczkowice 28|63-913 Kołaczkowice|woj. wielkopolskie	poznańska	Jutrosin	wielkopolskie	ChIJoySH3sLnF0cRLKXKg3f6sXI	OK
Narodzenia Najświętszej Maryi Panny	Poniec	http://www.poniec.archpoznan.pl/	Narodzenia Najświętszej Maryi Panny|ul. Kościuszki 15|64-125 Poniec|woj. wielkopolskie	poznańska	Krobia	wielkopolskie	ChIJw15uY8R1BUcRc1uvpWAydbg	AMBIGUOUS
Narodzenia Najświętszej Maryi Panny	Lubiń	http://www.wojciech.lubin.pl/	Narodzenia Najświętszej Maryi Panny|ul. Mickiewicza 6|64-010 Lubiń|woj. wielkopolskie	poznańska	Krzywiń	wielkopolskie	ChIJvdM7DlRvD0cRsF8qJZtMSBM	OK
Narodzenia Najświętszej Maryi Panny	Kamionna		Narodzenia Najświętszej Maryi Panny|ul. Kościelna 5|64-421 Kamionna|woj. wielkopolskie	poznańska	Międzychód	wielkopolskie	ChIJWTPb2KuQBkcR8dtCEG6cr7s	OK
Narodzenia Najświętszej Maryi Panny	Kolniczki	http://www.archpoznan.pl/component/option,com_contact/Itemid,0/task,view/contact_id,169/	Narodzenia Najświętszej Maryi Panny|Kolniczki 8|63-041 Kolniczki|woj. wielkopolskie	poznańska	Nowe Miasto	wielkopolskie	ChIJf9MN8JEeBUcRup8odLQNTBo	OK
Narodzenia Najświętszej Maryi Panny	Olszany	http://przemyska.pl/parafie/	Narodzenia Najświętszej Maryi Panny|Olszany 11|37-741 Olszany|woj. podkarpackie	przemyska (łac)	Bircza	podkarpackie	ChIJXX8ESXiAO0cRyDOwx9YgqA0	OK
Narodzenia Najświętszej Maryi Panny	Hyżne		Narodzenia Najświętszej Maryi Panny|Hyżne 154|36-024 Hyżne|woj. podkarpackie	przemyska (łac)	Błażowa	podkarpackie	ChIJVcR0f1r0PEcR3vH5b5NbhaE	OK
Narodzenia Najświętszej Maryi Panny	Krzywcza		Narodzenia Najświętszej Maryi Panny|Krzywcza 1|37-755 Krzywcza|woj. podkarpackie	przemyska (łac)	Dubiecko	podkarpackie	ChIJvRcrVquAPEcRth5dq-OcvbA	OK
Narodzenia Najświętszej Maryi Panny	Kobylany	http://naszekobylany.blogspot.com/	Narodzenia Najświętszej Maryi Panny|38-462 Kobylany|woj. podkarpackie	przemyska (łac)	Dukla	podkarpackie	ChIJpRaSnjc2PEcRYPhhTzWP_uM	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Koramanice		Narodzenia Najświętszej Maryi Panny	Koramanice	Narodzenia Najświętszej Maryi Panny|Kormanice 13|37-734 Koramanice|woj. podkarpackie	przemyska (łac)	Kalwaria Pacławska	podkarpackie		NOT_FOUND
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Bezmiechowa Górna		Narodzenia Najświętszej Maryi Panny	Bezmiechowa Górna	Narodzenia Najświętszej Maryi Panny|Bezmiechowa Górna 13|38-600 Bezmiechowa Górna|woj. podkarpackie	przemyska (łac)	Lesko	podkarpackie		NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Średnia Wieś		Narodzenia Najświętszej Maryi Panny|Średnia Wieś 122 a|38-604 Średnia Wieś|woj. podkarpackie	przemyska (łac)	Lesko	podkarpackie	ChIJ5bTolff1O0cR3mnyXwb0qaE	OK
Narodzenia Najświętszej Maryi Panny	Albigowa	http://www.albigowa.parafia.info.pl/	Narodzenia Najświętszej Maryi Panny|Albigowa 844|37-122 Albigowa|woj. podkarpackie	przemyska (łac)	Łańcut I	podkarpackie	ChIJrfN3F2zyPEcRxc5tAwjemkk	OK
Narodzenia Najświętszej Maryi Panny	Jaksmanice		Narodzenia Najświętszej Maryi Panny|Jaksmanice 95b|37-705 Jaksmanice|woj. podkarpackie	przemyska (łac)	Przemyśl III	podkarpackie	ChIJNaD5lTt4O0cRzrYjbaepamk	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Chotyniec		Narodzenia Najświętszej Maryi Panny	Chotyniec	Narodzenia Najświętszej Maryi Panny|Chotyniec 78|37-552 Chotyniec|woj. podkarpackie	przemyska (łac)	Radymno II	podkarpackie		NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Królik Polski		Narodzenia Najświętszej Maryi Panny|Królik Polski 69|38-481 Królik Polski|woj. podkarpackie	przemyska (łac)	Rymanów	podkarpackie	ChIJYTxqRic8PEcRbAHHmcxn7uE	OK
Narodzenia Najświętszej Maryi Panny	Ustajnowa		Narodzenia Najświętszej Maryi Panny|Ustjanowa 14|38-700 Ustajnowa|woj. podkarpackie	przemyska (łac)	Ustrzyki Dolne	podkarpackie	ChIJO3uRPBzzO0cRKu1gqOqWogs	OK
Narodzenia Najświętszej Maryi Panny	Bolestraszyce	https://parafiabolestraszyce.pl/	Narodzenia Najświętszej Maryi Panny|Bolestraszyce 157|37-722 Bolestraszyce|woj. podkarpackie	przemyska (łac)	Żurawica	podkarpackie	ChIJZXtEXl95O0cRt3iAcVq4qg4	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Popowo		Narodzenia Najświętszej Maryi Panny	Popowo	Narodzenia Najświętszej Maryi Panny|Popowo n.Bugiem 43|07-204 Popowo|woj. mazowieckie	płocka	Serock	mazowieckie		NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Rozniszew	http://www.parafia-rozniszew.pl/	Narodzenia Najświętszej Maryi Panny|Rozniszew 33|26-914 Rozniszew|woj. mazowieckie	radomska	Głowaczów	mazowieckie	ChIJL1JRWGzdGEcRtZJGkvTV-jA	OK
Narodzenia Najświętszej Maryi Panny	Mroczków Gościnny		Narodzenia Najświętszej Maryi Panny|Mroczków Gościnny 51|26-300 Mroczków Gościnny|woj. łódzkie	radomska	Opoczno	łódzkie	ChIJ7TqZoFW6GUcRaHMITmr8KRc	AMBIGUOUS
Narodzenia Najświętszej Maryi Panny	Błogie Szlacheckie		Narodzenia Najświętszej Maryi Panny|Błogie Szlacheckie 18|26-342 Błogie Szlacheckie	radomska	Toamszów Mazowiecki		ChIJNfGC6UWSGUcRy1dqWKvbPmk	AMBIGUOUS
Narodzenia Najświętszej Maryi Panny	Sulisławice		Narodzenia Najświętszej Maryi Panny|ul. Susławice 91|27-670 Sulisławice|woj. świętokrzyskie	sandomierska	Koprzywnica	świętokrzyskie	ChIJBT57QzxOPUcRwaGiwgGVazQ	OK
Narodzenia Najświętszej Maryi Panny	Ortel Książęcy		Narodzenia Najświętszej Maryi Panny|Ortel Książęcy 15|21-500 Ortel Książęcy|woj. lubelskie	siedlecka	Biała Podlaska-Południe	lubelskie	ChIJd_jC2LqbIUcRykHhiPqgjno	OK
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Szóstka		Narodzenia Najświętszej Maryi Panny	Szóstka	Narodzenia Najświętszej Maryi Panny|Szóstka|21-570 Szóstka|woj. lubelskie	siedlecka	Komarówka	lubelskie		NOT_FOUND
NOT_FOUND	Narodzenia Najświętszej Maryi Panny Kodoniec		Narodzenia Najświętszej Maryi Panny	Kodoniec	Narodzenia Najświętszej Maryi Panny|Kodeniec 81|21-213 Kodoniec	siedlecka	Parczew			NOT_FOUND
Narodzenia Najświętszej Maryi Panny	Wola Osowińska	http://diecezja.radiopodlasie.pl/?pageId=63&pr=114	Narodzenia Najświętszej Maryi Panny|Parkowa 5|21-145 Wola Osowińska	siedlecka	Radzyń Podlaski		ChIJdWscOoEQIkcRpc1E4PRjIJU	OK
Narodzenia Najświętszej Maryi Panny	Motwica	http://motwica.pl/index.php/wydarzenia	Narodzenia Najświętszej Maryi Panny|Motwica 44|21-518 Motwica|woj. lubelskie	siedlecka	Wisznice	lubelskie	ChIJK0Oi85PVI0cRM4fy3BxZgGo	OK
Narodzenia Najświętszej Maryi Panny	Pełczyce	http://parafia-pelczyce.blogspot.com	Narodzenia Najświętszej Maryi Panny|ul. Kościelna 4|74-260 Pełczyce	szczecińsko-kamieńska	Barlinek		ChIJn94irUIsB0cRiRIed5tbVpU	AMBIGUOUS
Narodzenia Najświętszej Maryi Panny	Cedynia		Narodzenia Najświętszej Maryi Panny|ul. Chopina 5|74-520 Cedynia|woj. zachodniopomorskie	szczecińsko-kamieńska	Cedynia	zachodniopomorskie	ChIJa62No_vdqUcRjkwecwhQ4Sw	OK
Narodzenia Najświętszej Maryi Panny	Choszczno	http://szczecin.kuria.pl/wspolnoty/wspolnoty-parafialne/Choszczno-Narodzenia-NMP_LC07	Narodzenia Najświętszej Maryi Panny|Rynek 1|73-200 Choszczno|woj. zachodniopomorskie	szczecińsko-kamieńska	Choszczno	zachodniopomorskie	ChIJiaLwjQLUAEcRO1xCsuRqvAs	OK
Narodzenia Najświętszej Maryi Panny	Gryfino	http://www.parafia.nar.gryfino.ehost.pl/	Narodzenia Najświętszej Maryi Panny|ul. Kościelna 30|74-100 Gryfino|woj. zachodniopomorskie	szczecińsko-kamieńska	Gryfino	zachodniopomorskie	ChIJj2l2f_wAqkcRyHNeo300C0w	OK
